route,target_kind,app,driver_kind,points_identified,points_evaluated,not_reached,mutants_generated,mutants_run,mutants_killed,equivalent_tce,resolved,test1_demo_ran,test1_demo_killed,test1_demo_killed_alone,test2_added_ran,test2_added_killed,test2_added_killed_alone,test2_method,test3_perf_ran,test3_perf_killed,complete
ast_mutator,generator,bgu,shipped,439,439,0,439,397,394,24,418,397,2,2,395,392,392,output_compare,0,0,1
ast_mutator,generator,bilateral_grid,shipped,191,191,0,191,191,190,0,190,191,2,2,188,188,188,output_compare,0,0,1
ast_mutator,generator,blur,shipped,30,30,0,30,30,30,0,30,30,30,6,24,24,0,output_compare,0,0,1
ast_mutator,generator,camera_pipe,shipped,555,360,195,360,356,352,4,356,356,37,37,319,315,315,output_compare,0,0,0
ast_mutator,generator,conv_layer,shipped,9,9,0,9,9,9,0,9,9,6,6,3,3,3,output_compare,0,0,1
ast_mutator,generator,depthwise_separable_conv,shipped,77,77,0,77,76,65,1,66,76,22,22,54,43,43,output_compare,0,0,1
ast_mutator,generator,harris,shipped,231,231,0,231,231,231,0,231,231,0,0,231,231,231,output_compare,0,0,1
ast_mutator,generator,hist,shipped,90,90,0,90,90,90,0,90,90,1,1,89,89,89,output_compare,0,0,1
ast_mutator,generator,iir_blur,shipped,39,39,0,39,39,37,0,37,39,3,3,36,34,34,output_compare,0,0,1
ast_mutator,generator,interpolate,shipped,117,117,0,117,115,107,2,109,115,4,4,107,103,103,output_compare,0,0,1
ast_mutator,generator,lens_blur,shipped,253,253,0,253,253,85,0,85,253,0,0,253,85,85,output_compare,0,0,1
ast_mutator,generator,local_laplacian,shipped,243,243,0,243,243,238,0,238,243,15,15,228,223,223,output_compare,0,0,1
ast_mutator,generator,max_filter,shipped,62,62,0,62,60,55,2,57,60,6,6,54,49,49,output_compare,0,0,1
ast_mutator,generator,nl_means,shipped,55,55,0,55,55,55,0,55,55,4,4,51,51,51,output_compare,0,0,1
ast_mutator,generator,stencil_chain,shipped,12,12,0,12,8,8,0,8,8,1,1,7,7,7,output_compare,0,0,1
ast_mutator,generator,unsharp,shipped,135,135,0,135,135,135,0,135,135,0,0,135,135,135,output_compare,0,0,1
ast_mutator,emitted_cpp,fft,added_assertion,2247,2247,0,2211,1521,860,690,1550,1521,860,860,0,0,0,,0,0,1
ast_mutator,emitted_cpp,resize,added_assertion,8435,8435,0,8340,7601,1150,739,1889,7601,295,291,7310,859,855,output_compare,0,0,1
ast_mutator,emitted_cpp,wavelet,added_assertion,1524,1524,0,1488,1214,306,274,580,1214,200,200,1014,106,106,output_compare,0,0,1
